State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Ventura County,236,2937,794,566,Los Angeles,Construction of Buildings
CA,California,Yolo County,236,717,1276,108,Sacramento,Construction of Buildings
CA,California,Yuba County,236,96,436,27,Sacramento,Construction of Buildings
CA,California,Alameda County,237,4074,1515,114,San Francisco,Heavy and Civil Engineering Construction
CA,California,Amador County,237,19,583,6,Sacramento,Heavy and Civil Engineering Construction
CA,California,Butte County,237,165,1103,25,Sacramento,Heavy and Civil Engineering Construction
CA,California,Calaveras County,237,0,0,10,Sacramento,Heavy and Civil Engineering Construction
CA,California,Colusa County,237,0,0,6,Sacramento,Heavy and Civil Engineering Construction
CA,California,Contra Costa County,237,2140,1479,100,San Francisco,Heavy and Civil Engineering Construction
CA,California,Del Norte County,237,0,0,2,San Francisco,Heavy and Civil Engineering Construction
CA,California,El Dorado County,237,114,1235,26,Sacramento,Heavy and Civil Engineering Construction
CA,California,Fresno County,237,1724,1122,83,Sacramento,Heavy and Civil Engineering Construction
CA,California,Glenn County,237,32,1019,5,Sacramento,Heavy and Civil Engineering Construction
CA,California,Humboldt County,237,164,1095,27,San Francisco,Heavy and Civil Engineering Construction
CA,California,Imperial County,237,189,1334,10,San Diego,Heavy and Civil Engineering Construction
CA,California,Inyo County,237,0,0,1,Sacramento,Heavy and Civil Engineering Construction
CA,California,Kern County,237,4690,1041,81,Sacramento,Heavy and Civil Engineering Construction
CA,California,Kings County,237,236,924,10,Sacramento,Heavy and Civil Engineering Construction
CA,California,Lake County,237,25,683,12,Sacramento,Heavy and Civil Engineering Construction
CA,California,Lassen County,237,0,0,3,Sacramento,Heavy and Civil Engineering Construction
CA,California,Los Angeles County,237,10675,1435,449,Los Angeles,Heavy and Civil Engineering Construction
CA,California,Madera County,237,0,0,19,Sacramento,Heavy and Civil Engineering Construction
CA,California,Marin County,237,625,1514,26,San Francisco,Heavy and Civil Engineering Construction
CA,California,Mariposa County,237,9,0,3,Sacramento,Heavy and Civil Engineering Construction
CA,California,Mendocino County,237,197,958,26,San Francisco,Heavy and Civil Engineering Construction
